 format: day,hour,value location:98_77 Start : 20220101 
 1, 0000, 43.000000 
 1, 0100, 166.000000 
 1, 0200, 216.000000 
 1, 0300, 176.000000 
 1, 0400, 194.000000 
 1, 0500, 173.000000 
 1, 0600, 194.000000 
 1, 0700, 162.000000 
 1, 0800, 183.000000 
 1, 0900, 8.000000 
 1, 1000, 0.000000 
 1, 1100, 28.000000 
 1, 1200, 12.000000 
 1, 1300, 15.000000 
 1, 1400, 15.000000 
 1, 1500, 4.000000 
 1, 1600, 35.000000 
 1, 1700, 4.000000 
 1, 1800, 17.000000 
 1, 1900, 329.000000 
 1, 2000, 18.000000 
 1, 2100, 332.000000 
 1, 2200, 250.000000 
 1, 2300, 138.000000 
 2, 0000, 164.000000 
 2, 0100, 166.000000 
 2, 0200, 270.000000 
 2, 0300, 273.000000 
 2, 0400, 301.000000 
 2, 0500, 326.000000 
 2, 0600, 325.000000 
 2, 0700, 353.000000 
 2, 0800, 352.000000 
 2, 0900, 345.000000 
 2, 1000, 7.000000 
 2, 1100, 27.000000 
 2, 1200, 9.000000 
 2, 1300, 2.000000 
 2, 1400, 354.000000 
 2, 1500, 326.000000 
 2, 1600, 2.000000 
 2, 1700, 106.000000 
 2, 1800, 10.000000 
 2, 1900, 335.000000 
 2, 2000, 344.000000 
 2, 2100, 4.000000 
 2, 2200, 4.000000 
 2, 2300, 359.000000 
 3, 0000, 328.000000 
 3, 0100, 234.000000 
 3, 0200, 225.000000 
 3, 0300, 229.000000 
 3, 0400, 242.000000 
 3, 0500, 276.000000 
 3, 0600, 268.000000 
 3, 0700, 351.000000 
 3, 0800, 339.000000 
 3, 0900, 63.000000 
 3, 1000, 91.000000 
 3, 1100, 38.000000 
 3, 1200, 76.000000 
 3, 1300, 35.000000 
 3, 1400, 61.000000 
 3, 1500, 134.000000 
 3, 1600, 207.000000 
 3, 1700, 308.000000 
 3, 1800, 31.000000 
 3, 1900, 32.000000 
 3, 2000, 118.000000 
 3, 2100, 14.000000 
 3, 2200, 13.000000 
 3, 2300, 143.000000 
 4, 0000, 142.000000 
 4, 0100, 291.000000 
 4, 0200, 244.000000 
 4, 0300, 321.000000 
 4, 0400, 338.000000 
 4, 0500, 261.000000 
 4, 0600, 249.000000 
 4, 0700, 299.000000 
 4, 0800, 332.000000 
 4, 0900, 358.000000 
 4, 1000, 24.000000 
 4, 1100, 2.000000 
 4, 1200, 2.000000 
 4, 1300, 36.000000 
 4, 1400, 7.000000 
 4, 1500, 41.000000 
 4, 1600, 20.000000 
 4, 1700, 24.000000 
 4, 1800, 36.000000 
 4, 1900, 21.000000 
 4, 2000, 360.000000 
 4, 2100, 25.000000 
 4, 2200, 13.000000 
 4, 2300, 235.000000 
 5, 0000, 0.000000 
 5, 0100, 349.000000 
 5, 0200, 346.000000 
 5, 0300, 344.000000 
 5, 0400, 204.000000 
 5, 0500, 350.000000 
 5, 0600, 19.000000 
 5, 0700, 355.000000 
 5, 0800, 27.000000 
 5, 0900, 10.000000 
 5, 1000, 7.000000 
 5, 1100, 358.000000 
 5, 1200, 13.000000 
 5, 1300, 9.000000 
 5, 1400, 178.000000 
 5, 1500, 17.000000 
 5, 1600, 343.000000 
 5, 1700, 8.000000 
 5, 1800, 45.000000 
 5, 1900, 339.000000 
 5, 2000, 239.000000 
 5, 2100, 281.000000 
 5, 2200, 344.000000 
 5, 2300, 353.000000 
 6, 0000, 326.000000 
 6, 0100, 325.000000 
 6, 0200, 331.000000 
 6, 0300, 330.000000 
 6, 0400, 322.000000 
 6, 0500, 319.000000 
 6, 0600, 333.000000 
 6, 0700, 348.000000 
 6, 0800, 17.000000 
 6, 0900, 9.000000 
 6, 1000, 66.000000 
 6, 1100, 357.000000 
 6, 1200, 23.000000 
 6, 1300, 8.000000 
 6, 1400, 20.000000 
 6, 1500, 51.000000 
 6, 1600, 35.000000 
 6, 1700, 6.000000 
 6, 1800, 354.000000 
 6, 1900, 14.000000 
 6, 2000, 10.000000 
 6, 2100, 11.000000 
 6, 2200, 12.000000 
 6, 2300, -1.000000 
 7, 0000, 4.000000 
 7, 0100, 183.000000 
 7, 0200, 205.000000 
 7, 0300, 340.000000 
 7, 0400, 228.000000 
 7, 0500, 222.000000 
 7, 0600, 232.000000 
 7, 0700, 274.000000 
 7, 0800, 333.000000 
 7, 0900, 163.000000 
 7, 1000, 17.000000 
 7, 1100, 11.000000 
 7, 1200, 30.000000 
 7, 1300, 20.000000 
 7, 1400, 22.000000 
 7, 1500, 51.000000 
 7, 1600, 2.000000 
 7, 1700, 3.000000 
 7, 1800, 3.000000 
 7, 1900, 2.000000 
 7, 2000, 5.000000 
 7, 2100, 9.000000 
 7, 2200, 5.000000 
 7, 2300, 13.000000 
 8, 0000, 169.000000 
 8, 0100, 244.000000 
 8, 0200, 254.000000 
 8, 0300, 238.000000 
 8, 0400, 325.000000 
 8, 0500, 230.000000 
 8, 0600, 294.000000 
 8, 0700, 265.000000 
 8, 0800, 8.000000 
 8, 0900, 21.000000 
 8, 1000, 350.000000 
 8, 1100, 347.000000 
 8, 1200, 344.000000 
 8, 1300, 51.000000 
 8, 1400, 120.000000 
 8, 1500, 97.000000 
 8, 1600, 5.000000 
 8, 1700, 355.000000 
 8, 1800, 2.000000 
 8, 1900, 19.000000 
 8, 2000, 337.000000 
 8, 2100, 316.000000 
 8, 2200, 353.000000 
 8, 2300, 360.000000 
 9, 0000, 195.000000 
 9, 0100, 214.000000 
 9, 0200, 217.000000 
 9, 0300, 228.000000 
 9, 0400, 175.000000 
 9, 0500, 148.000000 
 9, 0600, 165.000000 
 9, 0700, 152.000000 
 9, 0800, 44.000000 
 9, 0900, 18.000000 
 9, 1000, 14.000000 
 9, 1100, 24.000000 
 9, 1200, 28.000000 
 9, 1300, 7.000000 
 9, 1400, 19.000000 
 9, 1500, 18.000000 
 9, 1600, 348.000000 
 9, 1700, 14.000000 
 9, 1800, 21.000000 
 9, 1900, 13.000000 
 9, 2000, 29.000000 
 9, 2100, 22.000000 
 9, 2200, 16.000000 
 9, 2300, 320.000000 
 10, 0000, 347.000000 
 10, 0100, 192.000000 
 10, 0200, 181.000000 
 10, 0300, 259.000000 
 10, 0400, 200.000000 
 10, 0500, 222.000000 
 10, 0600, 220.000000 
 10, 0700, 229.000000 
 10, 0800, 180.000000 
 10, 0900, 140.000000 
 10, 1000, 167.000000 
 10, 1100, 181.000000 
 10, 1200, 242.000000 
 10, 1300, 238.000000 
 10, 1400, 318.000000 
 10, 1500, 75.000000 
 10, 1600, 293.000000 
 10, 1700, 327.000000 
 10, 1800, 339.000000 
 10, 1900, 341.000000 
 10, 2000, 310.000000 
 10, 2100, 318.000000 
 10, 2200, 325.000000 
 10, 2300, 285.000000 
 11, 0000, 276.000000 
 11, 0100, 344.000000 
 11, 0200, 310.000000 
 11, 0300, 339.000000 
 11, 0400, 329.000000 
 11, 0500, 324.000000 
 11, 0600, 354.000000 
 11, 0700, 331.000000 
 11, 0800, 353.000000 
 11, 0900, 333.000000 
 11, 1000, 338.000000 
 11, 1100, 112.000000 
 11, 1200, 320.000000 
 11, 1300, 340.000000 
 11, 1400, 339.000000 
 11, 1500, 324.000000 
 11, 1600, 318.000000 
 11, 1700, 312.000000 
 11, 1800, 306.000000 
 11, 1900, 334.000000 
 11, 2000, 341.000000 
 11, 2100, 328.000000 
 11, 2200, 143.000000 
 11, 2300, 329.000000 
 12, 0000, 337.000000 
 12, 0100, 310.000000 
 12, 0200, 358.000000 
 12, 0300, 3.000000 
 12, 0400, 230.000000 
 12, 0500, 265.000000 
 12, 0600, 312.000000 
 12, 0700, 326.000000 
 12, 0800, 316.000000 
 12, 0900, 290.000000 
 12, 1000, 340.000000 
 12, 1100, 334.000000 
 12, 1200, 311.000000 
 12, 1300, 207.000000 
 12, 1400, 59.000000 
 12, 1500, 21.000000 
 12, 1600, 323.000000 
 12, 1700, 339.000000 
 12, 1800, 302.000000 
 12, 1900, 320.000000 
 12, 2000, 297.000000 
 12, 2100, 296.000000 
 12, 2200, 48.000000 
 12, 2300, 350.000000 
 13, 0000, 333.000000 
 13, 0100, 326.000000 
 13, 0200, 326.000000 
 13, 0300, 266.000000 
 13, 0400, 337.000000 
 13, 0500, 317.000000 
 13, 0600, 301.000000 
 13, 0700, 290.000000 
 13, 0800, 333.000000 
 13, 0900, 286.000000 
 13, 1000, 343.000000 
 13, 1100, 331.000000 
 13, 1200, 6.000000 
 13, 1300, 313.000000 
 13, 1400, 319.000000 
 13, 1500, 8.000000 
 13, 1600, 142.000000 
 13, 1700, 21.000000 
 13, 1800, 326.000000 
 13, 1900, 299.000000 
 13, 2000, 324.000000 
 13, 2100, 302.000000 
 13, 2200, 2.000000 
 13, 2300, 297.000000 
 14, 0000, 159.000000 
 14, 0100, 233.000000 
 14, 0200, 1.000000 
 14, 0300, 352.000000 
 14, 0400, 233.000000 
 14, 0500, 321.000000 
 14, 0600, 328.000000 
 14, 0700, 38.000000 
 14, 0800, 109.000000 
 14, 0900, 301.000000 
 14, 1000, 24.000000 
 14, 1100, 15.000000 
 14, 1200, 22.000000 
 14, 1300, 13.000000 
 14, 1400, 16.000000 
 14, 1500, 31.000000 
 14, 1600, 9.000000 
 14, 1700, 9.000000 
 14, 1800, 355.000000 
 14, 1900, 6.000000 
 14, 2000, 0.000000 
 14, 2100, 24.000000 
 14, 2200, 125.000000 
 14, 2300, 157.000000 
 15, 0000, 245.000000 
 15, 0100, 215.000000 
 15, 0200, 216.000000 
 15, 0300, 225.000000 
 15, 0400, 232.000000 
 15, 0500, 229.000000 
 15, 0600, 227.000000 
 15, 0700, 335.000000 
 15, 0800, 316.000000 
 15, 0900, 336.000000 
 15, 1000, 20.000000 
 15, 1100, 25.000000 
 15, 1200, 12.000000 
 15, 1300, 11.000000 
 15, 1400, 6.000000 
 15, 1500, 18.000000 
 15, 1600, 168.000000 
 15, 1700, 91.000000 
 15, 1800, 236.000000 
 15, 1900, 193.000000 
 15, 2000, 85.000000 
 15, 2100, 140.000000 
 15, 2200, 249.000000 
 15, 2300, 272.000000 
 16, 0000, 276.000000 
 16, 0100, 279.000000 
 16, 0200, 353.000000 
 16, 0300, 344.000000 
 16, 0400, 324.000000 
 16, 0500, 327.000000 
 16, 0600, 319.000000 
 16, 0700, 302.000000 
 16, 0800, 331.000000 
 16, 0900, 322.000000 
 16, 1000, 346.000000 
 16, 1100, 353.000000 
 16, 1200, 291.000000 
 16, 1300, 306.000000 
 16, 1400, 281.000000 
 16, 1500, 186.000000 
 16, 1600, 233.000000 
 16, 1700, 242.000000 
 16, 1800, 155.000000 
 16, 1900, 225.000000 
 16, 2000, 243.000000 
 16, 2100, 261.000000 
 16, 2200, 249.000000 
 16, 2300, 234.000000 
 17, 0000, 62.000000 
 17, 0100, 327.000000 
 17, 0200, 274.000000 
 17, 0300, 277.000000 
 17, 0400, 307.000000 
 17, 0500, 304.000000 
 17, 0600, 326.000000 
 17, 0700, 311.000000 
 17, 0800, 335.000000 
 17, 0900, 302.000000 
 17, 1000, 346.000000 
 17, 1100, 299.000000 
 17, 1200, 340.000000 
 17, 1300, 3.000000 
 17, 1400, 332.000000 
 17, 1500, 346.000000 
 17, 1600, 337.000000 
 17, 1700, 331.000000 
 17, 1800, 332.000000 
 17, 1900, 67.000000 
 17, 2000, 324.000000 
 17, 2100, 317.000000 
 17, 2200, 9.000000 
 17, 2300, 153.000000 
 18, 0000, 342.000000 
 18, 0100, 310.000000 
 18, 0200, 339.000000 
 18, 0300, 309.000000 
 18, 0400, 294.000000 
 18, 0500, 317.000000 
 18, 0600, 239.000000 
 18, 0700, 159.000000 
 18, 0800, 80.000000 
 18, 0900, 28.000000 
 18, 1000, 47.000000 
 18, 1100, 18.000000 
 18, 1200, 105.000000 
 18, 1300, 21.000000 
 18, 1400, 24.000000 
 18, 1500, 18.000000 
 18, 1600, 29.000000 
 18, 1700, 15.000000 
 18, 1800, 28.000000 
 18, 1900, 22.000000 
 18, 2000, 11.000000 
 18, 2100, 19.000000 
 18, 2200, 360.000000 
 18, 2300, 0.000000 
 19, 0000, 189.000000 
 19, 0100, 240.000000 
 19, 0200, 223.000000 
 19, 0300, 228.000000 
 19, 0400, 225.000000 
 19, 0500, 327.000000 
 19, 0600, 234.000000 
 19, 0700, 222.000000 
 19, 0800, 231.000000 
 19, 0900, 336.000000 
 19, 1000, 325.000000 
 19, 1100, 324.000000 
 19, 1200, 273.000000 
 19, 1300, 333.000000 
 19, 1400, 333.000000 
 19, 1500, 329.000000 
 19, 1600, 10.000000 
 19, 1700, 182.000000 
 19, 1800, 36.000000 
 19, 1900, 326.000000 
 19, 2000, 20.000000 
 19, 2100, 294.000000 
 19, 2200, 355.000000 
 19, 2300, 350.000000 
 20, 0000, 6.000000 
 20, 0100, 7.000000 
 20, 0200, 358.000000 
 20, 0300, 349.000000 
 20, 0400, 356.000000 
 20, 0500, 330.000000 
 20, 0600, 335.000000 
 20, 0700, 342.000000 
 20, 0800, 356.000000 
 20, 0900, 357.000000 
 20, 1000, 3.000000 
 20, 1100, 22.000000 
 20, 1200, 68.000000 
 20, 1300, 3.000000 
 20, 1400, 11.000000 
 20, 1500, 3.000000 
 20, 1600, 15.000000 
 20, 1700, 82.000000 
 20, 1800, 3.000000 
 20, 1900, 25.000000 
 20, 2000, 9.000000 
 20, 2100, 353.000000 
 20, 2200, 317.000000 
 20, 2300, 355.000000 
 21, 0000, 343.000000 
 21, 0100, 172.000000 
 21, 0200, 199.000000 
 21, 0300, 174.000000 
 21, 0400, 184.000000 
 21, 0500, 196.000000 
 21, 0600, 186.000000 
 21, 0700, 267.000000 
 21, 0800, 32.000000 
 21, 0900, 10.000000 
 21, 1000, 23.000000 
 21, 1100, 15.000000 
 21, 1200, 16.000000 
 21, 1300, 26.000000 
 21, 1400, 330.000000 
 21, 1500, 325.000000 
 21, 1600, 3.000000 
 21, 1700, 355.000000 
 21, 1800, 13.000000 
 21, 1900, 12.000000 
 21, 2000, 358.000000 
 21, 2100, 347.000000 
 21, 2200, 357.000000 
 21, 2300, 349.000000 
 22, 0000, 285.000000 
 22, 0100, 207.000000 
 22, 0200, 186.000000 
 22, 0300, 173.000000 
 22, 0400, 197.000000 
 22, 0500, 161.000000 
 22, 0600, 188.000000 
 22, 0700, 163.000000 
 22, 0800, 149.000000 
 22, 0900, 24.000000 
 22, 1000, 16.000000 
 22, 1100, 29.000000 
 22, 1200, 11.000000 
 22, 1300, 31.000000 
 22, 1400, 22.000000 
 22, 1500, 17.000000 
 22, 1600, 356.000000 
 22, 1700, 21.000000 
 22, 1800, 339.000000 
 22, 1900, 4.000000 
 22, 2000, 23.000000 
 22, 2100, 338.000000 
 22, 2200, 4.000000 
 22, 2300, 356.000000 
 23, 0000, 163.000000 
 23, 0100, 343.000000 
 23, 0200, 203.000000 
 23, 0300, 174.000000 
 23, 0400, 169.000000 
 23, 0500, 187.000000 
 23, 0600, 244.000000 
 23, 0700, 343.000000 
 23, 0800, 269.000000 
 23, 0900, 350.000000 
 23, 1000, 33.000000 
 23, 1100, 1.000000 
 23, 1200, 9.000000 
 23, 1300, 14.000000 
 23, 1400, 9.000000 
 23, 1500, 18.000000 
 23, 1600, 12.000000 
 23, 1700, 6.000000 
 23, 1800, 9.000000 
 23, 1900, 13.000000 
 23, 2000, 47.000000 
 23, 2100, 1.000000 
 23, 2200, 45.000000 
 23, 2300, 6.000000 
 24, 0000, 13.000000 
 24, 0100, 28.000000 
 24, 0200, 359.000000 
 24, 0300, 350.000000 
 24, 0400, 10.000000 
 24, 0500, 4.000000 
 24, 0600, 19.000000 
 24, 0700, 359.000000 
 24, 0800, 22.000000 
 24, 0900, 59.000000 
 24, 1000, 2.000000 
 24, 1100, 11.000000 
 24, 1200, 15.000000 
 24, 1300, 196.000000 
 24, 1400, 105.000000 
 24, 1500, 175.000000 
 24, 1600, 0.000000 
 24, 1700, 102.000000 
 24, 1800, 7.000000 
 24, 1900, 52.000000 
 24, 2000, 94.000000 
 24, 2100, 26.000000 
 24, 2200, 335.000000 
 24, 2300, 1.000000 
 25, 0000, 333.000000 
 25, 0100, 345.000000 
 25, 0200, 212.000000 
 25, 0300, 228.000000 
 25, 0400, 345.000000 
 25, 0500, 305.000000 
 25, 0600, 239.000000 
 25, 0700, 190.000000 
 25, 0800, 223.000000 
 25, 0900, 202.000000 
 25, 1000, 206.000000 
 25, 1100, 292.000000 
 25, 1200, 4.000000 
 25, 1300, 338.000000 
 25, 1400, 242.000000 
 25, 1500, 91.000000 
 25, 1600, 352.000000 
 25, 1700, 119.000000 
 25, 1800, 107.000000 
 25, 1900, 327.000000 
 25, 2000, 277.000000 
 25, 2100, 298.000000 
 25, 2200, 10.000000 
 25, 2300, 160.000000 
 26, 0000, 177.000000 
 26, 0100, 241.000000 
 26, 0200, 234.000000 
 26, 0300, 308.000000 
 26, 0400, 328.000000 
 26, 0500, 302.000000 
 26, 0600, 333.000000 
 26, 0700, 246.000000 
 26, 0800, 57.000000 
 26, 0900, 167.000000 
 26, 1000, 26.000000 
 26, 1100, 12.000000 
 26, 1200, 345.000000 
 26, 1300, 35.000000 
 26, 1400, 21.000000 
 26, 1500, 26.000000 
 26, 1600, 345.000000 
 26, 1700, 18.000000 
 26, 1800, 351.000000 
 26, 1900, 18.000000 
 26, 2000, 17.000000 
 26, 2100, 13.000000 
 26, 2200, 1.000000 
 26, 2300, 10.000000 
 27, 0000, 0.000000 
 27, 0100, 166.000000 
 27, 0200, 175.000000 
 27, 0300, 258.000000 
 27, 0400, 352.000000 
 27, 0500, 182.000000 
 27, 0600, 160.000000 
 27, 0700, 171.000000 
 27, 0800, 13.000000 
 27, 0900, 14.000000 
 27, 1000, 11.000000 
 27, 1100, 25.000000 
 27, 1200, 12.000000 
 27, 1300, 197.000000 
 27, 1400, 18.000000 
 27, 1500, 51.000000 
 27, 1600, 74.000000 
 27, 1700, 15.000000 
 27, 1800, 342.000000 
 27, 1900, 3.000000 
 27, 2000, 351.000000 
 27, 2100, 328.000000 
 27, 2200, 318.000000 
 27, 2300, 313.000000 
 28, 0000, 333.000000 
 28, 0100, 352.000000 
 28, 0200, 271.000000 
 28, 0300, 350.000000 
 28, 0400, 240.000000 
 28, 0500, 199.000000 
 28, 0600, 170.000000 
 28, 0700, 340.000000 
 28, 0800, 355.000000 
 28, 0900, 56.000000 
 28, 1000, 21.000000 
 28, 1100, 7.000000 
 28, 1200, 357.000000 
 28, 1300, 329.000000 
 28, 1400, 74.000000 
 28, 1500, 143.000000 
 28, 1600, 315.000000 
 28, 1700, 346.000000 
 28, 1800, 337.000000 
 28, 1900, 349.000000 
 28, 2000, 332.000000 
 28, 2100, 12.000000 
 28, 2200, 355.000000 
 28, 2300, 316.000000 
 29, 0000, 319.000000 
 29, 0100, 325.000000 
 29, 0200, 335.000000 
 29, 0300, 329.000000 
 29, 0400, 323.000000 
 29, 0500, 326.000000 
 29, 0600, 331.000000 
 29, 0700, 313.000000 
 29, 0800, 41.000000 
 29, 0900, 93.000000 
 29, 1000, 319.000000 
 29, 1100, 8.000000 
 29, 1200, 18.000000 
 29, 1300, 326.000000 
 29, 1400, 3.000000 
 29, 1500, 7.000000 
 29, 1600, 113.000000 
 29, 1700, 23.000000 
 29, 1800, 79.000000 
 29, 1900, 0.000000 
 29, 2000, 16.000000 
 29, 2100, 357.000000 
 29, 2200, 356.000000 
 29, 2300, 10.000000 
 30, 0000, 286.000000 
 30, 0100, 233.000000 
 30, 0200, 240.000000 
 30, 0300, 239.000000 
 30, 0400, 201.000000 
 30, 0500, 262.000000 
 30, 0600, 226.000000 
 30, 0700, 357.000000 
 30, 0800, 45.000000 
 30, 0900, 76.000000 
 30, 1000, 10.000000 
 30, 1100, 20.000000 
 30, 1200, 47.000000 
 30, 1300, 8.000000 
 30, 1400, 2.000000 
 30, 1500, 341.000000 
 30, 1600, 328.000000 
 30, 1700, 49.000000 
 30, 1800, 65.000000 
 30, 1900, 77.000000 
 30, 2000, 26.000000 
 30, 2100, 3.000000 
 30, 2200, 118.000000 
 30, 2300, 57.000000 
 31, 0000, 343.000000 
