 format: day,hour,value location:97_74 Start : 20220101 
 1, 0000, 261.000000 
 1, 0100, 277.000000 
 1, 0200, 196.000000 
 1, 0300, 120.000000 
 1, 0400, 185.000000 
 1, 0500, 155.000000 
 1, 0600, 185.000000 
 1, 0700, 236.000000 
 1, 0800, 268.000000 
 1, 0900, 282.000000 
 1, 1000, 309.000000 
 1, 1100, 279.000000 
 1, 1200, 300.000000 
 1, 1300, 309.000000 
 1, 1400, 314.000000 
 1, 1500, 322.000000 
 1, 1600, 307.000000 
 1, 1700, 313.000000 
 1, 1800, 314.000000 
 1, 1900, 335.000000 
 1, 2000, 314.000000 
 1, 2100, 321.000000 
 1, 2200, 268.000000 
 1, 2300, 267.000000 
 2, 0000, 250.000000 
 2, 0100, 235.000000 
 2, 0200, 229.000000 
 2, 0300, 234.000000 
 2, 0400, 235.000000 
 2, 0500, 220.000000 
 2, 0600, 287.000000 
 2, 0700, 336.000000 
 2, 0800, 335.000000 
 2, 0900, 327.000000 
 2, 1000, 326.000000 
 2, 1100, 318.000000 
 2, 1200, 321.000000 
 2, 1300, 326.000000 
 2, 1400, 323.000000 
 2, 1500, 322.000000 
 2, 1600, 323.000000 
 2, 1700, 324.000000 
 2, 1800, 322.000000 
 2, 1900, 282.000000 
 2, 2000, 286.000000 
 2, 2100, 287.000000 
 2, 2200, 330.000000 
 2, 2300, 347.000000 
 3, 0000, 315.000000 
 3, 0100, 293.000000 
 3, 0200, 325.000000 
 3, 0300, 293.000000 
 3, 0400, 271.000000 
 3, 0500, 334.000000 
 3, 0600, 330.000000 
 3, 0700, 258.000000 
 3, 0800, 3.000000 
 3, 0900, 282.000000 
 3, 1000, 102.000000 
 3, 1100, 335.000000 
 3, 1200, 339.000000 
 3, 1300, 298.000000 
 3, 1400, 317.000000 
 3, 1500, 23.000000 
 3, 1600, 184.000000 
 3, 1700, 307.000000 
 3, 1800, 13.000000 
 3, 1900, 266.000000 
 3, 2000, 301.000000 
 3, 2100, 294.000000 
 3, 2200, 1.000000 
 3, 2300, 134.000000 
 4, 0000, 323.000000 
 4, 0100, 330.000000 
 4, 0200, 291.000000 
 4, 0300, 268.000000 
 4, 0400, 279.000000 
 4, 0500, 287.000000 
 4, 0600, 245.000000 
 4, 0700, 342.000000 
 4, 0800, 315.000000 
 4, 0900, 297.000000 
 4, 1000, 22.000000 
 4, 1100, 318.000000 
 4, 1200, 313.000000 
 4, 1300, 329.000000 
 4, 1400, 338.000000 
 4, 1500, 332.000000 
 4, 1600, 8.000000 
 4, 1700, 325.000000 
 4, 1800, 302.000000 
 4, 1900, 139.000000 
 4, 2000, 86.000000 
 4, 2100, 53.000000 
 4, 2200, 47.000000 
 4, 2300, 45.000000 
 5, 0000, 40.000000 
 5, 0100, 46.000000 
 5, 0200, 40.000000 
 5, 0300, 55.000000 
 5, 0400, 51.000000 
 5, 0500, 52.000000 
 5, 0600, 56.000000 
 5, 0700, 53.000000 
 5, 0800, 49.000000 
 5, 0900, 45.000000 
 5, 1000, 54.000000 
 5, 1100, 46.000000 
 5, 1200, 44.000000 
 5, 1300, 43.000000 
 5, 1400, 33.000000 
 5, 1500, 39.000000 
 5, 1600, 113.000000 
 5, 1700, 190.000000 
 5, 1800, 336.000000 
 5, 1900, 177.000000 
 5, 2000, 327.000000 
 5, 2100, 316.000000 
 5, 2200, 316.000000 
 5, 2300, 339.000000 
 6, 0000, 147.000000 
 6, 0100, 126.000000 
 6, 0200, 309.000000 
 6, 0300, 282.000000 
 6, 0400, 270.000000 
 6, 0500, 283.000000 
 6, 0600, 318.000000 
 6, 0700, 309.000000 
 6, 0800, 292.000000 
 6, 0900, 322.000000 
 6, 1000, 344.000000 
 6, 1100, 311.000000 
 6, 1200, 308.000000 
 6, 1300, 316.000000 
 6, 1400, 77.000000 
 6, 1500, 126.000000 
 6, 1600, 159.000000 
 6, 1700, 219.000000 
 6, 1800, 330.000000 
 6, 1900, 211.000000 
 6, 2000, 169.000000 
 6, 2100, 171.000000 
 6, 2200, 172.000000 
 6, 2300, 256.000000 
 7, 0000, 143.000000 
 7, 0100, 203.000000 
 7, 0200, 275.000000 
 7, 0300, 259.000000 
 7, 0400, 256.000000 
 7, 0500, 230.000000 
 7, 0600, 235.000000 
 7, 0700, 231.000000 
 7, 0800, 262.000000 
 7, 0900, 286.000000 
 7, 1000, 263.000000 
 7, 1100, 308.000000 
 7, 1200, 293.000000 
 7, 1300, 316.000000 
 7, 1400, 319.000000 
 7, 1500, 318.000000 
 7, 1600, 326.000000 
 7, 1700, 308.000000 
 7, 1800, 310.000000 
 7, 1900, 327.000000 
 7, 2000, 325.000000 
 7, 2100, 318.000000 
 7, 2200, 323.000000 
 7, 2300, 321.000000 
 8, 0000, 318.000000 
 8, 0100, 317.000000 
 8, 0200, 292.000000 
 8, 0300, 285.000000 
 8, 0400, 234.000000 
 8, 0500, 260.000000 
 8, 0600, 266.000000 
 8, 0700, 262.000000 
 8, 0800, 273.000000 
 8, 0900, 327.000000 
 8, 1000, 326.000000 
 8, 1100, 313.000000 
 8, 1200, 321.000000 
 8, 1300, 258.000000 
 8, 1400, 3.000000 
 8, 1500, 152.000000 
 8, 1600, 14.000000 
 8, 1700, 136.000000 
 8, 1800, 188.000000 
 8, 1900, 132.000000 
 8, 2000, 260.000000 
 8, 2100, 121.000000 
 8, 2200, 32.000000 
 8, 2300, 27.000000 
 9, 0000, 228.000000 
 9, 0100, 112.000000 
 9, 0200, 309.000000 
 9, 0300, 315.000000 
 9, 0400, 215.000000 
 9, 0500, 285.000000 
 9, 0600, 292.000000 
 9, 0700, 172.000000 
 9, 0800, 66.000000 
 9, 0900, 289.000000 
 9, 1000, 297.000000 
 9, 1100, 293.000000 
 9, 1200, 312.000000 
 9, 1300, 316.000000 
 9, 1400, 313.000000 
 9, 1500, 309.000000 
 9, 1600, 307.000000 
 9, 1700, 309.000000 
 9, 1800, 44.000000 
 9, 1900, 141.000000 
 9, 2000, 6.000000 
 9, 2100, 103.000000 
 9, 2200, 37.000000 
 9, 2300, 125.000000 
 10, 0000, 111.000000 
 10, 0100, 190.000000 
 10, 0200, 250.000000 
 10, 0300, 232.000000 
 10, 0400, 236.000000 
 10, 0500, 259.000000 
 10, 0600, 216.000000 
 10, 0700, 248.000000 
 10, 0800, 259.000000 
 10, 0900, 265.000000 
 10, 1000, 253.000000 
 10, 1100, 244.000000 
 10, 1200, 255.000000 
 10, 1300, 260.000000 
 10, 1400, 279.000000 
 10, 1500, 96.000000 
 10, 1600, 126.000000 
 10, 1700, 313.000000 
 10, 1800, 317.000000 
 10, 1900, 132.000000 
 10, 2000, 248.000000 
 10, 2100, 281.000000 
 10, 2200, 276.000000 
 10, 2300, 260.000000 
 11, 0000, 283.000000 
 11, 0100, 206.000000 
 11, 0200, 335.000000 
 11, 0300, 251.000000 
 11, 0400, 274.000000 
 11, 0500, 303.000000 
 11, 0600, 259.000000 
 11, 0700, 269.000000 
 11, 0800, 301.000000 
 11, 0900, 299.000000 
 11, 1000, 278.000000 
 11, 1100, 262.000000 
 11, 1200, 325.000000 
 11, 1300, 315.000000 
 11, 1400, 312.000000 
 11, 1500, 11.000000 
 11, 1600, 301.000000 
 11, 1700, 131.000000 
 11, 1800, 173.000000 
 11, 1900, 114.000000 
 11, 2000, 114.000000 
 11, 2100, 135.000000 
 11, 2200, 113.000000 
 11, 2300, 236.000000 
 12, 0000, 113.000000 
 12, 0100, 39.000000 
 12, 0200, 260.000000 
 12, 0300, 284.000000 
 12, 0400, 272.000000 
 12, 0500, 283.000000 
 12, 0600, 265.000000 
 12, 0700, 264.000000 
 12, 0800, 328.000000 
 12, 0900, 4.000000 
 12, 1000, 57.000000 
 12, 1100, 205.000000 
 12, 1200, 180.000000 
 12, 1300, 89.000000 
 12, 1400, 275.000000 
 12, 1500, 269.000000 
 12, 1600, 272.000000 
 12, 1700, 274.000000 
 12, 1800, 331.000000 
 12, 1900, 276.000000 
 12, 2000, 346.000000 
 12, 2100, 304.000000 
 12, 2200, 326.000000 
 12, 2300, 137.000000 
 13, 0000, 270.000000 
 13, 0100, 321.000000 
 13, 0200, 303.000000 
 13, 0300, 286.000000 
 13, 0400, 275.000000 
 13, 0500, 290.000000 
 13, 0600, 306.000000 
 13, 0700, 282.000000 
 13, 0800, 287.000000 
 13, 0900, 267.000000 
 13, 1000, 269.000000 
 13, 1100, 282.000000 
 13, 1200, 275.000000 
 13, 1300, 273.000000 
 13, 1400, 257.000000 
 13, 1500, 264.000000 
 13, 1600, 240.000000 
 13, 1700, 286.000000 
 13, 1800, 282.000000 
 13, 1900, 322.000000 
 13, 2000, 320.000000 
 13, 2100, 224.000000 
 13, 2200, 138.000000 
 13, 2300, 34.000000 
 14, 0000, 302.000000 
 14, 0100, 202.000000 
 14, 0200, 282.000000 
 14, 0300, 207.000000 
 14, 0400, 263.000000 
 14, 0500, 285.000000 
 14, 0600, 273.000000 
 14, 0700, 294.000000 
 14, 0800, 285.000000 
 14, 0900, 323.000000 
 14, 1000, 321.000000 
 14, 1100, 315.000000 
 14, 1200, 293.000000 
 14, 1300, 316.000000 
 14, 1400, 307.000000 
 14, 1500, 322.000000 
 14, 1600, 322.000000 
 14, 1700, 320.000000 
 14, 1800, 294.000000 
 14, 1900, 291.000000 
 14, 2000, 256.000000 
 14, 2100, 258.000000 
 14, 2200, 269.000000 
 14, 2300, 277.000000 
 15, 0000, 336.000000 
 15, 0100, 311.000000 
 15, 0200, 311.000000 
 15, 0300, 228.000000 
 15, 0400, 239.000000 
 15, 0500, 207.000000 
 15, 0600, 268.000000 
 15, 0700, 216.000000 
 15, 0800, 253.000000 
 15, 0900, 267.000000 
 15, 1000, 315.000000 
 15, 1100, 320.000000 
 15, 1200, 324.000000 
 15, 1300, 303.000000 
 15, 1400, 95.000000 
 15, 1500, 266.000000 
 15, 1600, 278.000000 
 15, 1700, 255.000000 
 15, 1800, 249.000000 
 15, 1900, 258.000000 
 15, 2000, 261.000000 
 15, 2100, 251.000000 
 15, 2200, 253.000000 
 15, 2300, 261.000000 
 16, 0000, 253.000000 
 16, 0100, 265.000000 
 16, 0200, 260.000000 
 16, 0300, 262.000000 
 16, 0400, 262.000000 
 16, 0500, 260.000000 
 16, 0600, 290.000000 
 16, 0700, 296.000000 
 16, 0800, 191.000000 
 16, 0900, 270.000000 
 16, 1000, 335.000000 
 16, 1100, 333.000000 
 16, 1200, 10.000000 
 16, 1300, 118.000000 
 16, 1400, 45.000000 
 16, 1500, 32.000000 
 16, 1600, 241.000000 
 16, 1700, 269.000000 
 16, 1800, 284.000000 
 16, 1900, 303.000000 
 16, 2000, 278.000000 
 16, 2100, 280.000000 
 16, 2200, 252.000000 
 16, 2300, 256.000000 
 17, 0000, 280.000000 
 17, 0100, 290.000000 
 17, 0200, 285.000000 
 17, 0300, 282.000000 
 17, 0400, 325.000000 
 17, 0500, 259.000000 
 17, 0600, 258.000000 
 17, 0700, 264.000000 
 17, 0800, 268.000000 
 17, 0900, 270.000000 
 17, 1000, 276.000000 
 17, 1100, 264.000000 
 17, 1200, 271.000000 
 17, 1300, 320.000000 
 17, 1400, 328.000000 
 17, 1500, 357.000000 
 17, 1600, 14.000000 
 17, 1700, 10.000000 
 17, 1800, 325.000000 
 17, 1900, 0.000000 
 17, 2000, 316.000000 
 17, 2100, 163.000000 
 17, 2200, 139.000000 
 17, 2300, 347.000000 
 18, 0000, 313.000000 
 18, 0100, 283.000000 
 18, 0200, 282.000000 
 18, 0300, 283.000000 
 18, 0400, 266.000000 
 18, 0500, 272.000000 
 18, 0600, 273.000000 
 18, 0700, 325.000000 
 18, 0800, 324.000000 
 18, 0900, 303.000000 
 18, 1000, 335.000000 
 18, 1100, 315.000000 
 18, 1200, 335.000000 
 18, 1300, 291.000000 
 18, 1400, 317.000000 
 18, 1500, 316.000000 
 18, 1600, 314.000000 
 18, 1700, 265.000000 
 18, 1800, 346.000000 
 18, 1900, 178.000000 
 18, 2000, 320.000000 
 18, 2100, 319.000000 
 18, 2200, 311.000000 
 18, 2300, 318.000000 
 19, 0000, 282.000000 
 19, 0100, 300.000000 
 19, 0200, 300.000000 
 19, 0300, 275.000000 
 19, 0400, 277.000000 
 19, 0500, 235.000000 
 19, 0600, 247.000000 
 19, 0700, 235.000000 
 19, 0800, 231.000000 
 19, 0900, 255.000000 
 19, 1000, 252.000000 
 19, 1100, 260.000000 
 19, 1200, 286.000000 
 19, 1300, 261.000000 
 19, 1400, 302.000000 
 19, 1500, 282.000000 
 19, 1600, 317.000000 
 19, 1700, 12.000000 
 19, 1800, 318.000000 
 19, 1900, 303.000000 
 19, 2000, 314.000000 
 19, 2100, 312.000000 
 19, 2200, 323.000000 
 19, 2300, 51.000000 
 20, 0000, 49.000000 
 20, 0100, 56.000000 
 20, 0200, 334.000000 
 20, 0300, 15.000000 
 20, 0400, 75.000000 
 20, 0500, 11.000000 
 20, 0600, 22.000000 
 20, 0700, 330.000000 
 20, 0800, 317.000000 
 20, 0900, 38.000000 
 20, 1000, 37.000000 
 20, 1100, 42.000000 
 20, 1200, 59.000000 
 20, 1300, 53.000000 
 20, 1400, 53.000000 
 20, 1500, 288.000000 
 20, 1600, 326.000000 
 20, 1700, 185.000000 
 20, 1800, 344.000000 
 20, 1900, 185.000000 
 20, 2000, 332.000000 
 20, 2100, 0.000000 
 20, 2200, 0.000000 
 20, 2300, 160.000000 
 21, 0000, 104.000000 
 21, 0100, 134.000000 
 21, 0200, 145.000000 
 21, 0300, 197.000000 
 21, 0400, 214.000000 
 21, 0500, 114.000000 
 21, 0600, 111.000000 
 21, 0700, 101.000000 
 21, 0800, 38.000000 
 21, 0900, 29.000000 
 21, 1000, 37.000000 
 21, 1100, 254.000000 
 21, 1200, 26.000000 
 21, 1300, 1.000000 
 21, 1400, 40.000000 
 21, 1500, 45.000000 
 21, 1600, 25.000000 
 21, 1700, 235.000000 
 21, 1800, 0.000000 
 21, 1900, 35.000000 
 21, 2000, 41.000000 
 21, 2100, 27.000000 
 21, 2200, 74.000000 
 21, 2300, 0.000000 
 22, 0000, 83.000000 
 22, 0100, 83.000000 
 22, 0200, 103.000000 
 22, 0300, 132.000000 
 22, 0400, 117.000000 
 22, 0500, 99.000000 
 22, 0600, 116.000000 
 22, 0700, 116.000000 
 22, 0800, 57.000000 
 22, 0900, 17.000000 
 22, 1000, 24.000000 
 22, 1100, 22.000000 
 22, 1200, 18.000000 
 22, 1300, 38.000000 
 22, 1400, 69.000000 
 22, 1500, 48.000000 
 22, 1600, 78.000000 
 22, 1700, 233.000000 
 22, 1800, 0.000000 
 22, 1900, 0.000000 
 22, 2000, 0.000000 
 22, 2100, 0.000000 
 22, 2200, 26.000000 
 22, 2300, 19.000000 
 23, 0000, 41.000000 
 23, 0100, 25.000000 
 23, 0200, 33.000000 
 23, 0300, 58.000000 
 23, 0400, 48.000000 
 23, 0500, 45.000000 
 23, 0600, 63.000000 
 23, 0700, 51.000000 
 23, 0800, 51.000000 
 23, 0900, 48.000000 
 23, 1000, 51.000000 
 23, 1100, 53.000000 
 23, 1200, 56.000000 
 23, 1300, 55.000000 
 23, 1400, 60.000000 
 23, 1500, 52.000000 
 23, 1600, 44.000000 
 23, 1700, 51.000000 
 23, 1800, 54.000000 
 23, 1900, 59.000000 
 23, 2000, 52.000000 
 23, 2100, 52.000000 
 23, 2200, 51.000000 
 23, 2300, 51.000000 
 24, 0000, 54.000000 
 24, 0100, 50.000000 
 24, 0200, 54.000000 
 24, 0300, 46.000000 
 24, 0400, 63.000000 
 24, 0500, 61.000000 
 24, 0600, 55.000000 
 24, 0700, 47.000000 
 24, 0800, 42.000000 
 24, 0900, 51.000000 
 24, 1000, 52.000000 
 24, 1100, 36.000000 
 24, 1200, 42.000000 
 24, 1300, 56.000000 
 24, 1400, 45.000000 
 24, 1500, 32.000000 
 24, 1600, 36.000000 
 24, 1700, 38.000000 
 24, 1800, 45.000000 
 24, 1900, 99.000000 
 24, 2000, 36.000000 
 24, 2100, 180.000000 
 24, 2200, 25.000000 
 24, 2300, 313.000000 
 25, 0000, 35.000000 
 25, 0100, 29.000000 
 25, 0200, 85.000000 
 25, 0300, 256.000000 
 25, 0400, 267.000000 
 25, 0500, 259.000000 
 25, 0600, 250.000000 
 25, 0700, 242.000000 
 25, 0800, 249.000000 
 25, 0900, 271.000000 
 25, 1000, 262.000000 
 25, 1100, 275.000000 
 25, 1200, 266.000000 
 25, 1300, 242.000000 
 25, 1400, 277.000000 
 25, 1500, 265.000000 
 25, 1600, 177.000000 
 25, 1700, 93.000000 
 25, 1800, 29.000000 
 25, 1900, 100.000000 
 25, 2000, 117.000000 
 25, 2100, 319.000000 
 25, 2200, 304.000000 
 25, 2300, 311.000000 
 26, 0000, 301.000000 
 26, 0100, 288.000000 
 26, 0200, 299.000000 
 26, 0300, 275.000000 
 26, 0400, 308.000000 
 26, 0500, 327.000000 
 26, 0600, 278.000000 
 26, 0700, 279.000000 
 26, 0800, 286.000000 
 26, 0900, 325.000000 
 26, 1000, 316.000000 
 26, 1100, 343.000000 
 26, 1200, 318.000000 
 26, 1300, 322.000000 
 26, 1400, 318.000000 
 26, 1500, 318.000000 
 26, 1600, 316.000000 
 26, 1700, 311.000000 
 26, 1800, 323.000000 
 26, 1900, 319.000000 
 26, 2000, 315.000000 
 26, 2100, 309.000000 
 26, 2200, 201.000000 
 26, 2300, 309.000000 
 27, 0000, 330.000000 
 27, 0100, 281.000000 
 27, 0200, 137.000000 
 27, 0300, 256.000000 
 27, 0400, 310.000000 
 27, 0500, 268.000000 
 27, 0600, 300.000000 
 27, 0700, 247.000000 
 27, 0800, 311.000000 
 27, 0900, 302.000000 
 27, 1000, 24.000000 
 27, 1100, 348.000000 
 27, 1200, 332.000000 
 27, 1300, 300.000000 
 27, 1400, 121.000000 
 27, 1500, 27.000000 
 27, 1600, 312.000000 
 27, 1700, 301.000000 
 27, 1800, 308.000000 
 27, 1900, 277.000000 
 27, 2000, 156.000000 
 27, 2100, 237.000000 
 27, 2200, 103.000000 
 27, 2300, 188.000000 
 28, 0000, 137.000000 
 28, 0100, 282.000000 
 28, 0200, 273.000000 
 28, 0300, 281.000000 
 28, 0400, 284.000000 
 28, 0500, 281.000000 
 28, 0600, 284.000000 
 28, 0700, 286.000000 
 28, 0800, 299.000000 
 28, 0900, 323.000000 
 28, 1000, 342.000000 
 28, 1100, 354.000000 
 28, 1200, 330.000000 
 28, 1300, 159.000000 
 28, 1400, 267.000000 
 28, 1500, 307.000000 
 28, 1600, 312.000000 
 28, 1700, 304.000000 
 28, 1800, 299.000000 
 28, 1900, 32.000000 
 28, 2000, 154.000000 
 28, 2100, 264.000000 
 28, 2200, 147.000000 
 28, 2300, 125.000000 
 29, 0000, 272.000000 
 29, 0100, 315.000000 
 29, 0200, 282.000000 
 29, 0300, 290.000000 
 29, 0400, 266.000000 
 29, 0500, 275.000000 
 29, 0600, 290.000000 
 29, 0700, 274.000000 
 29, 0800, 307.000000 
 29, 0900, 133.000000 
 29, 1000, 329.000000 
 29, 1100, 332.000000 
 29, 1200, 293.000000 
 29, 1300, 324.000000 
 29, 1400, 319.000000 
 29, 1500, 232.000000 
 29, 1600, 314.000000 
 29, 1700, 311.000000 
 29, 1800, 315.000000 
 29, 1900, 313.000000 
 29, 2000, 315.000000 
 29, 2100, 317.000000 
 29, 2200, 316.000000 
 29, 2300, 314.000000 
 30, 0000, 307.000000 
 30, 0100, 314.000000 
 30, 0200, 317.000000 
 30, 0300, 284.000000 
 30, 0400, 300.000000 
 30, 0500, 314.000000 
 30, 0600, 302.000000 
 30, 0700, 281.000000 
 30, 0800, 329.000000 
 30, 0900, 301.000000 
 30, 1000, 318.000000 
 30, 1100, 310.000000 
 30, 1200, 321.000000 
 30, 1300, 299.000000 
 30, 1400, 308.000000 
 30, 1500, 301.000000 
 30, 1600, 299.000000 
 30, 1700, 313.000000 
 30, 1800, 301.000000 
 30, 1900, 275.000000 
