 format: day,hour,value location:97_74 Start : 20220101 
 30, 2000, 316.000000 
 30, 2100, 318.000000 
 30, 2200, 318.000000 
 30, 2300, 313.000000 
 31, 0000, 308.000000 
 31, 0100, 312.000000 
 31, 0200, 308.000000 
 31, 0300, 328.000000 
 31, 0400, 318.000000 
 31, 0500, 272.000000 
 31, 0600, 247.000000 
 31, 0700, 246.000000 
 31, 0800, 238.000000 
 31, 0900, 247.000000 
 31, 1000, 260.000000 
 31, 1100, 260.000000 
 31, 1200, 260.000000 
 31, 1300, 257.000000 
 31, 1400, 269.000000 
 31, 1500, 269.000000 
 31, 1600, 260.000000 
 31, 1700, 263.000000 
 31, 1800, 276.000000 
 31, 1900, 266.000000 
 31, 2000, 282.000000 
 31, 2100, 258.000000 
 31, 2200, 260.000000 
 31, 2300, 264.000000 
 Start : 20220201 
 1, 0000, 265.000000 
 1, 0100, 265.000000 
 1, 0200, 265.000000 
 1, 0300, 274.000000 
 1, 0400, 265.000000 
 1, 0500, 275.000000 
 1, 0600, 259.000000 
 1, 0700, 284.000000 
 1, 0800, 291.000000 
 1, 0900, 279.000000 
 1, 1000, 257.000000 
 1, 1100, 118.000000 
 1, 1200, 54.000000 
 1, 1300, 100.000000 
 1, 1400, 111.000000 
 1, 1500, 167.000000 
 1, 1600, 158.000000 
 1, 1700, 320.000000 
 1, 1800, 206.000000 
 1, 1900, 157.000000 
 1, 2000, 289.000000 
 1, 2100, 141.000000 
 1, 2200, 153.000000 
 1, 2300, 317.000000 
 2, 0000, 187.000000 
 2, 0100, 261.000000 
 2, 0200, 125.000000 
 2, 0300, 193.000000 
 2, 0400, 258.000000 
 2, 0500, 215.000000 
 2, 0600, 110.000000 
 2, 0700, 292.000000 
 2, 0800, 257.000000 
 2, 0900, 249.000000 
 2, 1000, 330.000000 
 2, 1100, 336.000000 
 2, 1200, 337.000000 
 2, 1300, 331.000000 
 2, 1400, 17.000000 
 2, 1500, 129.000000 
 2, 1600, 326.000000 
 2, 1700, 297.000000 
 2, 1800, 118.000000 
 2, 1900, 338.000000 
 2, 2000, 2.000000 
 2, 2100, 306.000000 
 2, 2200, 262.000000 
 2, 2300, 322.000000 
 3, 0000, 120.000000 
 3, 0100, 253.000000 
 3, 0200, 264.000000 
 3, 0300, 267.000000 
 3, 0400, 280.000000 
 3, 0500, 280.000000 
 3, 0600, 278.000000 
 3, 0700, 276.000000 
 3, 0800, 0.000000 
 3, 0900, 297.000000 
 3, 1000, 323.000000 
 3, 1100, 294.000000 
 3, 1200, 348.000000 
 3, 1300, 193.000000 
 3, 1400, 4.000000 
 3, 1500, 150.000000 
 3, 1600, 113.000000 
 3, 1700, 317.000000 
 3, 1800, 349.000000 
 3, 1900, 330.000000 
 3, 2000, 321.000000 
 3, 2100, 140.000000 
 3, 2200, 312.000000 
 3, 2300, 297.000000 
 4, 0000, 186.000000 
 4, 0100, 269.000000 
 4, 0200, 251.000000 
 4, 0300, 285.000000 
 4, 0400, 323.000000 
 4, 0500, 256.000000 
 4, 0600, 267.000000 
 4, 0700, 273.000000 
 4, 0800, 267.000000 
 4, 0900, 270.000000 
 4, 1000, 277.000000 
 4, 1100, 273.000000 
 4, 1200, 286.000000 
 4, 1300, 279.000000 
 4, 1400, 262.000000 
 4, 1500, 273.000000 
 4, 1600, 269.000000 
 4, 1700, 271.000000 
 4, 1800, 269.000000 
 4, 1900, 331.000000 
 4, 2000, 265.000000 
 4, 2100, 265.000000 
 4, 2200, 284.000000 
 4, 2300, 264.000000 
 5, 0000, 264.000000 
 5, 0100, 277.000000 
 5, 0200, 286.000000 
 5, 0300, 285.000000 
 5, 0400, 350.000000 
 5, 0500, 300.000000 
 5, 0600, 285.000000 
 5, 0700, 280.000000 
 5, 0800, 261.000000 
 5, 0900, 258.000000 
 5, 1000, 261.000000 
 5, 1100, 254.000000 
 5, 1200, 267.000000 
 5, 1300, 263.000000 
 5, 1400, 265.000000 
 5, 1500, 284.000000 
 5, 1600, 278.000000 
 5, 1700, 269.000000 
 5, 1800, 278.000000 
 5, 1900, 258.000000 
 5, 2000, 276.000000 
 5, 2100, 295.000000 
 5, 2200, 258.000000 
 5, 2300, 202.000000 
 6, 0000, 281.000000 
 6, 0100, 281.000000 
 6, 0200, 289.000000 
 6, 0300, 311.000000 
 6, 0400, 315.000000 
 6, 0500, 287.000000 
 6, 0600, 268.000000 
 6, 0700, 269.000000 
 6, 0800, 271.000000 
 6, 0900, 276.000000 
 6, 1000, 11.000000 
 6, 1100, 324.000000 
 6, 1200, 254.000000 
 6, 1300, 253.000000 
 6, 1400, 272.000000 
 6, 1500, 304.000000 
 6, 1600, 309.000000 
 6, 1700, 269.000000 
 6, 1800, 151.000000 
 6, 1900, 88.000000 
 6, 2000, 326.000000 
 6, 2100, 284.000000 
 6, 2200, 299.000000 
 6, 2300, 33.000000 
 7, 0000, 294.000000 
 7, 0100, 306.000000 
 7, 0200, 304.000000 
 7, 0300, 267.000000 
 7, 0400, 292.000000 
 7, 0500, 316.000000 
 7, 0600, 289.000000 
 7, 0700, 272.000000 
 7, 0800, 300.000000 
 7, 0900, 320.000000 
 7, 1000, 319.000000 
 7, 1100, 317.000000 
 7, 1200, 313.000000 
 7, 1300, 315.000000 
 7, 1400, 323.000000 
 7, 1500, 317.000000 
 7, 1600, 320.000000 
 7, 1700, 318.000000 
 7, 1800, 311.000000 
 7, 1900, 315.000000 
 7, 2000, 302.000000 
 7, 2100, 285.000000 
 7, 2200, 315.000000 
 7, 2300, 319.000000 
 8, 0000, 296.000000 
 8, 0100, 310.000000 
 8, 0200, 291.000000 
 8, 0300, 278.000000 
 8, 0400, 275.000000 
 8, 0500, 280.000000 
 8, 0600, 276.000000 
 8, 0700, 57.000000 
 8, 0800, 40.000000 
 8, 0900, 327.000000 
 8, 1000, 24.000000 
 8, 1100, 27.000000 
 8, 1200, 62.000000 
 8, 1300, 339.000000 
 8, 1400, 32.000000 
 8, 1500, 36.000000 
 8, 1600, 62.000000 
 8, 1700, 42.000000 
 8, 1800, 49.000000 
 8, 1900, 49.000000 
 8, 2000, 55.000000 
 8, 2100, 46.000000 
 8, 2200, 56.000000 
 8, 2300, 39.000000 
 9, 0000, 44.000000 
 9, 0100, 88.000000 
 9, 0200, 121.000000 
 9, 0300, 113.000000 
 9, 0400, 114.000000 
 9, 0500, 122.000000 
 9, 0600, 110.000000 
 9, 0700, 56.000000 
 9, 0800, 60.000000 
 9, 0900, 40.000000 
 9, 1000, 36.000000 
 9, 1100, 40.000000 
 9, 1200, 34.000000 
 9, 1300, 33.000000 
 9, 1400, 22.000000 
 9, 1500, 316.000000 
 9, 1600, 311.000000 
 9, 1700, 320.000000 
 9, 1800, 311.000000 
 9, 1900, 324.000000 
 9, 2000, 323.000000 
 9, 2100, 346.000000 
 9, 2200, 323.000000 
 9, 2300, 101.000000 
 10, 0000, 141.000000 
 10, 0100, 301.000000 
 10, 0200, 292.000000 
 10, 0300, 322.000000 
 10, 0400, 343.000000 
 10, 0500, 300.000000 
 10, 0600, 291.000000 
 10, 0700, 286.000000 
 10, 0800, 46.000000 
 10, 0900, 42.000000 
 10, 1000, 56.000000 
 10, 1100, 20.000000 
 10, 1200, 30.000000 
 10, 1300, 315.000000 
 10, 1400, 318.000000 
 10, 1500, 310.000000 
 10, 1600, 312.000000 
 10, 1700, 317.000000 
 10, 1800, 307.000000 
 10, 1900, 309.000000 
 10, 2000, 327.000000 
 10, 2100, 302.000000 
 10, 2200, 334.000000 
 10, 2300, 0.000000 
 11, 0000, 354.000000 
 11, 0100, 28.000000 
 11, 0200, 118.000000 
 11, 0300, 187.000000 
 11, 0400, 184.000000 
 11, 0500, 181.000000 
 11, 0600, 114.000000 
 11, 0700, 123.000000 
 11, 0800, 126.000000 
 11, 0900, 61.000000 
 11, 1000, 35.000000 
 11, 1100, 43.000000 
 11, 1200, 0.000000 
 11, 1300, 0.000000 
 11, 1400, 0.000000 
 11, 1500, 292.000000 
 11, 1600, 308.000000 
 11, 1700, 304.000000 
 11, 1800, 0.000000 
 11, 1900, 307.000000 
 11, 2000, 315.000000 
 11, 2100, 321.000000 
 11, 2200, 0.000000 
 11, 2300, 0.000000 
 12, 0000, 0.000000 
 12, 0100, 83.000000 
 12, 0200, 85.000000 
 12, 0300, 87.000000 
 12, 0400, 82.000000 
 12, 0500, 76.000000 
 12, 0600, 65.000000 
 12, 0700, 71.000000 
 12, 0800, 60.000000 
 12, 0900, 43.000000 
 12, 1000, 50.000000 
 12, 1100, 52.000000 
 12, 1200, 43.000000 
 12, 1300, 52.000000 
 12, 1400, 45.000000 
 12, 1500, 38.000000 
 12, 1600, 40.000000 
 12, 1700, 50.000000 
 12, 1800, 43.000000 
 12, 1900, 42.000000 
 12, 2000, 49.000000 
 12, 2100, 49.000000 
 12, 2200, 36.000000 
 12, 2300, 49.000000 
 13, 0000, 52.000000 
 13, 0100, 54.000000 
 13, 0200, 45.000000 
 13, 0300, 53.000000 
 13, 0400, 58.000000 
 13, 0500, 51.000000 
 13, 0600, 43.000000 
 13, 0700, 52.000000 
 13, 0800, 49.000000 
 13, 0900, 56.000000 
 13, 1000, 45.000000 
 13, 1100, 50.000000 
 13, 1200, 59.000000 
 13, 1300, 41.000000 
 13, 1400, 49.000000 
 13, 1500, 51.000000 
 13, 1600, 48.000000 
 13, 1700, 50.000000 
 13, 1800, 51.000000 
 13, 1900, 42.000000 
 13, 2000, 51.000000 
 13, 2100, 52.000000 
 13, 2200, 40.000000 
 13, 2300, 46.000000 
 14, 0000, 44.000000 
 14, 0100, 97.000000 
 14, 0200, 127.000000 
 14, 0300, 128.000000 
 14, 0400, 195.000000 
 14, 0500, 188.000000 
 14, 0600, 187.000000 
 14, 0700, 218.000000 
 14, 0800, 220.000000 
 14, 0900, 261.000000 
 14, 1000, 262.000000 
 14, 1100, 265.000000 
 14, 1200, 261.000000 
 14, 1300, 280.000000 
 14, 1400, 283.000000 
 14, 1500, 252.000000 
 14, 1600, 277.000000 
 14, 1700, 274.000000 
 14, 1800, 277.000000 
 14, 1900, 209.000000 
 14, 2000, 275.000000 
 14, 2100, 279.000000 
 14, 2200, 281.000000 
 14, 2300, 269.000000 
 15, 0000, 267.000000 
 15, 0100, 278.000000 
 15, 0200, 255.000000 
 15, 0300, 262.000000 
 15, 0400, 281.000000 
 15, 0500, 320.000000 
 15, 0600, 318.000000 
 15, 0700, 273.000000 
 15, 0800, 277.000000 
 15, 0900, 275.000000 
 15, 1000, 284.000000 
 15, 1100, 300.000000 
 15, 1200, 264.000000 
 15, 1300, 270.000000 
 15, 1400, 273.000000 
 15, 1500, 278.000000 
 15, 1600, 269.000000 
 15, 1700, 263.000000 
 15, 1800, 273.000000 
 15, 1900, 271.000000 
 15, 2000, 283.000000 
 15, 2100, 273.000000 
 15, 2200, 270.000000 
 15, 2300, 279.000000 
 16, 0000, 273.000000 
 16, 0100, 316.000000 
 16, 0200, 337.000000 
 16, 0300, 288.000000 
 16, 0400, 259.000000 
 16, 0500, 263.000000 
 16, 0600, 269.000000 
 16, 0700, 271.000000 
 16, 0800, 288.000000 
 16, 0900, 287.000000 
 16, 1000, 280.000000 
 16, 1100, 287.000000 
 16, 1200, 269.000000 
 16, 1300, 285.000000 
 16, 1400, 287.000000 
 16, 1500, 282.000000 
 16, 1600, 295.000000 
 16, 1700, 270.000000 
 16, 1800, 268.000000 
 16, 1900, 266.000000 
 16, 2000, 276.000000 
 16, 2100, 332.000000 
 16, 2200, 275.000000 
 16, 2300, 352.000000 
 17, 0000, 264.000000 
 17, 0100, 255.000000 
 17, 0200, 280.000000 
 17, 0300, 278.000000 
 17, 0400, 285.000000 
 17, 0500, 293.000000 
 17, 0600, 109.000000 
 17, 0700, 118.000000 
 17, 0800, 50.000000 
 17, 0900, 68.000000 
 17, 1000, 330.000000 
 17, 1100, 55.000000 
 17, 1200, 38.000000 
 17, 1300, 52.000000 
 17, 1400, 12.000000 
 17, 1500, 246.000000 
 17, 1600, 219.000000 
 17, 1700, 316.000000 
 17, 1800, 280.000000 
 17, 1900, 45.000000 
 17, 2000, 42.000000 
 17, 2100, 40.000000 
 17, 2200, 56.000000 
 17, 2300, 45.000000 
 18, 0000, 41.000000 
 18, 0100, 58.000000 
 18, 0200, 72.000000 
 18, 0300, 79.000000 
 18, 0400, 77.000000 
 18, 0500, 67.000000 
 18, 0600, 99.000000 
 18, 0700, 69.000000 
 18, 0800, 48.000000 
 18, 0900, 50.000000 
 18, 1000, 49.000000 
 18, 1100, 28.000000 
 18, 1200, 31.000000 
 18, 1300, 28.000000 
 18, 1400, 47.000000 
 18, 1500, 31.000000 
 18, 1600, 324.000000 
 18, 1700, 348.000000 
 18, 1800, 312.000000 
 18, 1900, 311.000000 
 18, 2000, 322.000000 
 18, 2100, 300.000000 
 18, 2200, 281.000000 
 18, 2300, 313.000000 
 19, 0000, 318.000000 
 19, 0100, 313.000000 
 19, 0200, 274.000000 
 19, 0300, 222.000000 
 19, 0400, 273.000000 
 19, 0500, 296.000000 
 19, 0600, 279.000000 
 19, 0700, 12.000000 
 19, 0800, 325.000000 
 19, 0900, 339.000000 
 19, 1000, 323.000000 
 19, 1100, 306.000000 
 19, 1200, 5.000000 
 19, 1300, 261.000000 
 19, 1400, 207.000000 
 19, 1500, 300.000000 
 19, 1600, 274.000000 
 19, 1700, 273.000000 
 19, 1800, 276.000000 
 19, 1900, 313.000000 
 19, 2000, 263.000000 
 19, 2100, 263.000000 
 19, 2200, 267.000000 
 19, 2300, 246.000000 
 20, 0000, 269.000000 
 20, 0100, 279.000000 
 20, 0200, 273.000000 
 20, 0300, 283.000000 
 20, 0400, 268.000000 
 20, 0500, 299.000000 
 20, 0600, 297.000000 
 20, 0700, 264.000000 
 20, 0800, 303.000000 
 20, 0900, 317.000000 
 20, 1000, 329.000000 
 20, 1100, 269.000000 
 20, 1200, 265.000000 
 20, 1300, 262.000000 
 20, 1400, 264.000000 
 20, 1500, 280.000000 
 20, 1600, 291.000000 
 20, 1700, 246.000000 
 20, 1800, 233.000000 
 20, 1900, 271.000000 
 20, 2000, 336.000000 
 20, 2100, 271.000000 
 20, 2200, 233.000000 
 20, 2300, 140.000000 
 21, 0000, 220.000000 
 21, 0100, 225.000000 
 21, 0200, 227.000000 
 21, 0300, 249.000000 
 21, 0400, 185.000000 
 21, 0500, 237.000000 
 21, 0600, 202.000000 
 21, 0700, 212.000000 
 21, 0800, 245.000000 
 21, 0900, 263.000000 
 21, 1000, 275.000000 
 21, 1100, 264.000000 
 21, 1200, 265.000000 
 21, 1300, 272.000000 
 21, 1400, 270.000000 
 21, 1500, 272.000000 
 21, 1600, 292.000000 
 21, 1700, 276.000000 
 21, 1800, 273.000000 
 21, 1900, 264.000000 
 21, 2000, 275.000000 
 21, 2100, 302.000000 
 21, 2200, 287.000000 
 21, 2300, 321.000000 
 22, 0000, 271.000000 
 22, 0100, 266.000000 
 22, 0200, 293.000000 
 22, 0300, 288.000000 
 22, 0400, 329.000000 
 22, 0500, 337.000000 
 22, 0600, 219.000000 
 22, 0700, 222.000000 
 22, 0800, 211.000000 
 22, 0900, 236.000000 
 22, 1000, 272.000000 
 22, 1100, 5.000000 
 22, 1200, 142.000000 
 22, 1300, 318.000000 
 22, 1400, 342.000000 
 22, 1500, 316.000000 
 22, 1600, 26.000000 
 22, 1700, 321.000000 
 22, 1800, 348.000000 
 22, 1900, 311.000000 
 22, 2000, 301.000000 
 22, 2100, 231.000000 
 22, 2200, 296.000000 
 22, 2300, 286.000000 
 23, 0000, 158.000000 
 23, 0100, 309.000000 
 23, 0200, 313.000000 
 23, 0300, 289.000000 
 23, 0400, 279.000000 
 23, 0500, 288.000000 
 23, 0600, 272.000000 
 23, 0700, 278.000000 
 23, 0800, 272.000000 
 23, 0900, 337.000000 
 23, 1000, 322.000000 
 23, 1100, 321.000000 
 23, 1200, 1.000000 
 23, 1300, 312.000000 
 23, 1400, 356.000000 
 23, 1500, 347.000000 
 23, 1600, 5.000000 
 23, 1700, 305.000000 
 23, 1800, 130.000000 
 23, 1900, 12.000000 
 23, 2000, 326.000000 
 23, 2100, 341.000000 
 23, 2200, 157.000000 
 23, 2300, 274.000000 
 24, 0000, 350.000000 
 24, 0100, 210.000000 
 24, 0200, 255.000000 
 24, 0300, 272.000000 
 24, 0400, 277.000000 
 24, 0500, 246.000000 
 24, 0600, 284.000000 
 24, 0700, 219.000000 
 24, 0800, 237.000000 
 24, 0900, 238.000000 
 24, 1000, 249.000000 
 24, 1100, 343.000000 
 24, 1200, 320.000000 
 24, 1300, 273.000000 
 24, 1400, 17.000000 
 24, 1500, 339.000000 
 24, 1600, 354.000000 
 24, 1700, 349.000000 
 24, 1800, 336.000000 
 24, 1900, 193.000000 
 24, 2000, 139.000000 
 24, 2100, 67.000000 
 24, 2200, 347.000000 
 24, 2300, 356.000000 
 25, 0000, 279.000000 
 25, 0100, 232.000000 
 25, 0200, 260.000000 
 25, 0300, 279.000000 
 25, 0400, 252.000000 
 25, 0500, 208.000000 
 25, 0600, 228.000000 
 25, 0700, 223.000000 
 25, 0800, 218.000000 
 25, 0900, 215.000000 
 25, 1000, 252.000000 
 25, 1100, 255.000000 
 25, 1200, 238.000000 
 25, 1300, 286.000000 
 25, 1400, 295.000000 
 25, 1500, 312.000000 
 25, 1600, 359.000000 
 25, 1700, 137.000000 
 25, 1800, 290.000000 
 25, 1900, 271.000000 
 25, 2000, 292.000000 
 25, 2100, 0.000000 
 25, 2200, 248.000000 
 25, 2300, 253.000000 
 26, 0000, 245.000000 
 26, 0100, 256.000000 
 26, 0200, 213.000000 
 26, 0300, 209.000000 
 26, 0400, 205.000000 
 26, 0500, 217.000000 
 26, 0600, 213.000000 
 26, 0700, 222.000000 
 26, 0800, 220.000000 
 26, 0900, 224.000000 
 26, 1000, 219.000000 
 26, 1100, 277.000000 
 26, 1200, 256.000000 
 26, 1300, 242.000000 
 26, 1400, 246.000000 
 26, 1500, 260.000000 
 26, 1600, 268.000000 
 26, 1700, 282.000000 
 26, 1800, 258.000000 
 26, 1900, 99.000000 
 26, 2000, 22.000000 
 26, 2100, 220.000000 
 26, 2200, 267.000000 
 26, 2300, 277.000000 
 27, 0000, 296.000000 
 27, 0100, 261.000000 
 27, 0200, 211.000000 
 27, 0300, 196.000000 
 27, 0400, 198.000000 
 27, 0500, 195.000000 
 27, 0600, 202.000000 
 27, 0700, 213.000000 
 27, 0800, 219.000000 
 27, 0900, 223.000000 
 27, 1000, 238.000000 
 27, 1100, 268.000000 
 27, 1200, 248.000000 
 27, 1300, 282.000000 
 27, 1400, 321.000000 
 27, 1500, 330.000000 
 27, 1600, 309.000000 
 27, 1700, 291.000000 
 27, 1800, 290.000000 
 27, 1900, 325.000000 
 27, 2000, 343.000000 
 27, 2100, 331.000000 
 27, 2200, 296.000000 
 27, 2300, 122.000000 
 28, 0000, 307.000000 
 28, 0100, 181.000000 
 28, 0200, 183.000000 
 28, 0300, 193.000000 
 28, 0400, 184.000000 
 28, 0500, 183.000000 
 28, 0600, 177.000000 
 28, 0700, 157.000000 
 28, 0800, 196.000000 
 28, 0900, 217.000000 
 28, 1000, 239.000000 
 28, 1100, 235.000000 
 28, 1200, 233.000000 
 28, 1300, 252.000000 
 28, 1400, 264.000000 
 28, 1500, 260.000000 
 28, 1600, 249.000000 
 28, 1700, 261.000000 
 28, 1800, 256.000000 
 28, 1900, 263.000000 
 28, 2000, 248.000000 
 28, 2100, 236.000000 
 28, 2200, 253.000000 
 28, 2300, 235.000000 
 Start : 20220301 
 1, 0000, 7.000000 
 1, 0100, 283.000000 
 1, 0200, 294.000000 
 1, 0300, 256.000000 
 1, 0400, 186.000000 
 1, 0500, 195.000000 
 1, 0600, 190.000000 
 1, 0700, 226.000000 
 1, 0800, 239.000000 
 1, 0900, 264.000000 
 1, 1000, 267.000000 
 1, 1100, 279.000000 
 1, 1200, 261.000000 
 1, 1300, 331.000000 
 1, 1400, 307.000000 
 1, 1500, 251.000000 
 1, 1600, 127.000000 
