 format: day,hour,value location:98_78 Start : 20220101 
 1, 0000, 59.000000 
 1, 0100, 252.000000 
 1, 0200, 318.000000 
 1, 0300, 168.000000 
 1, 0400, 251.000000 
 1, 0500, 142.000000 
 1, 0600, 186.000000 
 1, 0700, 0.000000 
 1, 0800, 341.000000 
 1, 0900, 35.000000 
 1, 1000, 62.000000 
 1, 1100, 151.000000 
 1, 1200, 9.000000 
 1, 1300, 98.000000 
 1, 1400, 36.000000 
 1, 1500, 212.000000 
 1, 1600, 345.000000 
 1, 1700, 275.000000 
 1, 1800, 121.000000 
 1, 1900, 278.000000 
 1, 2000, 77.000000 
 1, 2100, 1.000000 
 1, 2200, 89.000000 
 1, 2300, 61.000000 
 2, 0000, 167.000000 
 2, 0100, 134.000000 
 2, 0200, 289.000000 
 2, 0300, 262.000000 
 2, 0400, 271.000000 
 2, 0500, 282.000000 
 2, 0600, 279.000000 
 2, 0700, 270.000000 
 2, 0800, 33.000000 
 2, 0900, 23.000000 
 2, 1000, 37.000000 
 2, 1100, 171.000000 
 2, 1200, 11.000000 
 2, 1300, 4.000000 
 2, 1400, 0.000000 
 2, 1500, 92.000000 
 2, 1600, 18.000000 
 2, 1700, 128.000000 
 2, 1800, 165.000000 
 2, 1900, 173.000000 
 2, 2000, 7.000000 
 2, 2100, 18.000000 
 2, 2200, 31.000000 
 2, 2300, 70.000000 
 3, 0000, 213.000000 
 3, 0100, 12.000000 
 3, 0200, 21.000000 
 3, 0300, 240.000000 
 3, 0400, 275.000000 
 3, 0500, 269.000000 
 3, 0600, 276.000000 
 3, 0700, 277.000000 
 3, 0800, 338.000000 
 3, 0900, 333.000000 
 3, 1000, 277.000000 
 3, 1100, 255.000000 
 3, 1200, 24.000000 
 3, 1300, 35.000000 
 3, 1400, 161.000000 
 3, 1500, 129.000000 
 3, 1600, 160.000000 
 3, 1700, 18.000000 
 3, 1800, 27.000000 
 3, 1900, 347.000000 
 3, 2000, 351.000000 
 3, 2100, 170.000000 
 3, 2200, 198.000000 
 3, 2300, 141.000000 
 4, 0000, 184.000000 
 4, 0100, 337.000000 
 4, 0200, 259.000000 
 4, 0300, 263.000000 
 4, 0400, 266.000000 
 4, 0500, 287.000000 
 4, 0600, 270.000000 
 4, 0700, 306.000000 
 4, 0800, 74.000000 
 4, 0900, 37.000000 
 4, 1000, 149.000000 
 4, 1100, 187.000000 
 4, 1200, 40.000000 
 4, 1300, 65.000000 
 4, 1400, 47.000000 
 4, 1500, 32.000000 
 4, 1600, 16.000000 
 4, 1700, 217.000000 
 4, 1800, 347.000000 
 4, 1900, 4.000000 
 4, 2000, 24.000000 
 4, 2100, 54.000000 
 4, 2200, 11.000000 
 4, 2300, 349.000000 
 5, 0000, 15.000000 
 5, 0100, 13.000000 
 5, 0200, 26.000000 
 5, 0300, 17.000000 
 5, 0400, 56.000000 
 5, 0500, 65.000000 
 5, 0600, 13.000000 
 5, 0700, 6.000000 
 5, 0800, 17.000000 
 5, 0900, 5.000000 
 5, 1000, 0.000000 
 5, 1100, 348.000000 
 5, 1200, 353.000000 
 5, 1300, 22.000000 
 5, 1400, 28.000000 
 5, 1500, 13.000000 
 5, 1600, 49.000000 
 5, 1700, 16.000000 
 5, 1800, 7.000000 
 5, 1900, 63.000000 
 5, 2000, 348.000000 
 5, 2100, 200.000000 
 5, 2200, 133.000000 
 5, 2300, 153.000000 
 6, 0000, 343.000000 
 6, 0100, 12.000000 
 6, 0200, 359.000000 
 6, 0300, 347.000000 
 6, 0400, 308.000000 
 6, 0500, 314.000000 
 6, 0600, 302.000000 
 6, 0700, 349.000000 
 6, 0800, 24.000000 
 6, 0900, 356.000000 
 6, 1000, 21.000000 
 6, 1100, 36.000000 
 6, 1200, 34.000000 
 6, 1300, 17.000000 
 6, 1400, 43.000000 
 6, 1500, 46.000000 
 6, 1600, 20.000000 
 6, 1700, 35.000000 
 6, 1800, 8.000000 
 6, 1900, 346.000000 
 6, 2000, 36.000000 
 6, 2100, 36.000000 
 6, 2200, 27.000000 
 6, 2300, -1.000000 
 7, 0000, 193.000000 
 7, 0100, 238.000000 
 7, 0200, 140.000000 
 7, 0300, 307.000000 
 7, 0400, 297.000000 
 7, 0500, 287.000000 
 7, 0600, 235.000000 
 7, 0700, 1.000000 
 7, 0800, 122.000000 
 7, 0900, 30.000000 
 7, 1000, 24.000000 
 7, 1100, 173.000000 
 7, 1200, 308.000000 
 7, 1300, 183.000000 
 7, 1400, 311.000000 
 7, 1500, 359.000000 
 7, 1600, 42.000000 
 7, 1700, 24.000000 
 7, 1800, 5.000000 
 7, 1900, 314.000000 
 7, 2000, 21.000000 
 7, 2100, 51.000000 
 7, 2200, 20.000000 
 7, 2300, 44.000000 
 8, 0000, 129.000000 
 8, 0100, 286.000000 
 8, 0200, 2.000000 
 8, 0300, 359.000000 
 8, 0400, 318.000000 
 8, 0500, 302.000000 
 8, 0600, 150.000000 
 8, 0700, 108.000000 
 8, 0800, 21.000000 
 8, 0900, 111.000000 
 8, 1000, 29.000000 
 8, 1100, 24.000000 
 8, 1200, 354.000000 
 8, 1300, 7.000000 
 8, 1400, 22.000000 
 8, 1500, 9.000000 
 8, 1600, 120.000000 
 8, 1700, 333.000000 
 8, 1800, 349.000000 
 8, 1900, 10.000000 
 8, 2000, 2.000000 
 8, 2100, 161.000000 
 8, 2200, 53.000000 
 8, 2300, 119.000000 
 9, 0000, 98.000000 
 9, 0100, 298.000000 
 9, 0200, 276.000000 
 9, 0300, 254.000000 
 9, 0400, 302.000000 
 9, 0500, 172.000000 
 9, 0600, 130.000000 
 9, 0700, 133.000000 
 9, 0800, 42.000000 
 9, 0900, 49.000000 
 9, 1000, 51.000000 
 9, 1100, 352.000000 
 9, 1200, 359.000000 
 9, 1300, 1.000000 
 9, 1400, 230.000000 
 9, 1500, 192.000000 
 9, 1600, 28.000000 
 9, 1700, 22.000000 
 9, 1800, 43.000000 
 9, 1900, 53.000000 
 9, 2000, 59.000000 
 9, 2100, 70.000000 
 9, 2200, 23.000000 
 9, 2300, 116.000000 
 10, 0000, 15.000000 
 10, 0100, 251.000000 
 10, 0200, 187.000000 
 10, 0300, 127.000000 
 10, 0400, 245.000000 
 10, 0500, 244.000000 
 10, 0600, 232.000000 
 10, 0700, 231.000000 
 10, 0800, 258.000000 
 10, 0900, 42.000000 
 10, 1000, 0.000000 
 10, 1100, 0.000000 
 10, 1200, 0.000000 
 10, 1300, 36.000000 
 10, 1400, 26.000000 
 10, 1500, 12.000000 
 10, 1600, 351.000000 
 10, 1700, 346.000000 
 10, 1800, 12.000000 
 10, 1900, 4.000000 
 10, 2000, 268.000000 
 10, 2100, 285.000000 
 10, 2200, 302.000000 
 10, 2300, 288.000000 
 11, 0000, 268.000000 
 11, 0100, 331.000000 
 11, 0200, 299.000000 
 11, 0300, 339.000000 
 11, 0400, 329.000000 
 11, 0500, 322.000000 
 11, 0600, 346.000000 
 11, 0700, 333.000000 
 11, 0800, 287.000000 
 11, 0900, 34.000000 
 11, 1000, 312.000000 
 11, 1100, 305.000000 
 11, 1200, 16.000000 
 11, 1300, 340.000000 
 11, 1400, 359.000000 
 11, 1500, 341.000000 
 11, 1600, 354.000000 
 11, 1700, 9.000000 
 11, 1800, 13.000000 
 11, 1900, 8.000000 
 11, 2000, 4.000000 
 11, 2100, 12.000000 
 11, 2200, 359.000000 
 11, 2300, 30.000000 
 12, 0000, 310.000000 
 12, 0100, 287.000000 
 12, 0200, 271.000000 
 12, 0300, 285.000000 
 12, 0400, 256.000000 
 12, 0500, 276.000000 
 12, 0600, 276.000000 
 12, 0700, 281.000000 
 12, 0800, 38.000000 
 12, 0900, 10.000000 
 12, 1000, 138.000000 
 12, 1100, 237.000000 
 12, 1200, 313.000000 
 12, 1300, 32.000000 
 12, 1400, 265.000000 
 12, 1500, 286.000000 
 12, 1600, 282.000000 
 12, 1700, 321.000000 
 12, 1800, 339.000000 
 12, 1900, 3.000000 
 12, 2000, 354.000000 
 12, 2100, 360.000000 
 12, 2200, 1.000000 
 12, 2300, 342.000000 
 13, 0000, 301.000000 
 13, 0100, 290.000000 
 13, 0200, 286.000000 
 13, 0300, 271.000000 
 13, 0400, 275.000000 
 13, 0500, 283.000000 
 13, 0600, 265.000000 
 13, 0700, 272.000000 
 13, 0800, 317.000000 
 13, 0900, 292.000000 
 13, 1000, 346.000000 
 13, 1100, 315.000000 
 13, 1200, 27.000000 
 13, 1300, 327.000000 
 13, 1400, 340.000000 
 13, 1500, 92.000000 
 13, 1600, 41.000000 
 13, 1700, 38.000000 
 13, 1800, 73.000000 
 13, 1900, 28.000000 
 13, 2000, 280.000000 
 13, 2100, 50.000000 
 13, 2200, 14.000000 
 13, 2300, 354.000000 
 14, 0000, 10.000000 
 14, 0100, 319.000000 
 14, 0200, 312.000000 
 14, 0300, 233.000000 
 14, 0400, 300.000000 
 14, 0500, 275.000000 
 14, 0600, 271.000000 
 14, 0700, 317.000000 
 14, 0800, 349.000000 
 14, 0900, 320.000000 
 14, 1000, 44.000000 
 14, 1100, 10.000000 
 14, 1200, 18.000000 
 14, 1300, 19.000000 
 14, 1400, 141.000000 
 14, 1500, 38.000000 
 14, 1600, 251.000000 
 14, 1700, 178.000000 
 14, 1800, 167.000000 
 14, 1900, 180.000000 
 14, 2000, 309.000000 
 14, 2100, 83.000000 
 14, 2200, 338.000000 
 14, 2300, 67.000000 
 15, 0000, 47.000000 
 15, 0100, 339.000000 
 15, 0200, 22.000000 
 15, 0300, 326.000000 
 15, 0400, 266.000000 
 15, 0500, 296.000000 
 15, 0600, 263.000000 
 15, 0700, 330.000000 
 15, 0800, 260.000000 
 15, 0900, 29.000000 
 15, 1000, 356.000000 
 15, 1100, 31.000000 
 15, 1200, 323.000000 
 15, 1300, 16.000000 
 15, 1400, 24.000000 
 15, 1500, 58.000000 
 15, 1600, 19.000000 
 15, 1700, 31.000000 
 15, 1800, 30.000000 
 15, 1900, 97.000000 
 15, 2000, 234.000000 
 15, 2100, 289.000000 
 15, 2200, 297.000000 
 15, 2300, 300.000000 
 16, 0000, 261.000000 
 16, 0100, 307.000000 
 16, 0200, 335.000000 
 16, 0300, 298.000000 
 16, 0400, 284.000000 
 16, 0500, 281.000000 
 16, 0600, 272.000000 
 16, 0700, 266.000000 
 16, 0800, 313.000000 
 16, 0900, 334.000000 
 16, 1000, 16.000000 
 16, 1100, 31.000000 
 16, 1200, 178.000000 
 16, 1300, 341.000000 
 16, 1400, 217.000000 
 16, 1500, 324.000000 
 16, 1600, 325.000000 
 16, 1700, 343.000000 
 16, 1800, 308.000000 
 16, 1900, 265.000000 
 16, 2000, 272.000000 
 16, 2100, 284.000000 
 16, 2200, 338.000000 
 16, 2300, 304.000000 
 17, 0000, 301.000000 
 17, 0100, 281.000000 
 17, 0200, 277.000000 
 17, 0300, 267.000000 
 17, 0400, 271.000000 
 17, 0500, 274.000000 
 17, 0600, 282.000000 
 17, 0700, 318.000000 
 17, 0800, 331.000000 
 17, 0900, 293.000000 
 17, 1000, 304.000000 
 17, 1100, 265.000000 
 17, 1200, 301.000000 
 17, 1300, 4.000000 
 17, 1400, 70.000000 
 17, 1500, 351.000000 
 17, 1600, 339.000000 
 17, 1700, 358.000000 
 17, 1800, 23.000000 
 17, 1900, 327.000000 
 17, 2000, 334.000000 
 17, 2100, 29.000000 
 17, 2200, 345.000000 
 17, 2300, 173.000000 
 18, 0000, 54.000000 
 18, 0100, 289.000000 
 18, 0200, 334.000000 
 18, 0300, 281.000000 
 18, 0400, 296.000000 
 18, 0500, 296.000000 
 18, 0600, 242.000000 
 18, 0700, 156.000000 
 18, 0800, 239.000000 
 18, 0900, 30.000000 
 18, 1000, 67.000000 
 18, 1100, 65.000000 
 18, 1200, 13.000000 
 18, 1300, 200.000000 
 18, 1400, 42.000000 
 18, 1500, 21.000000 
 18, 1600, 36.000000 
 18, 1700, 52.000000 
 18, 1800, 75.000000 
 18, 1900, 56.000000 
 18, 2000, 299.000000 
 18, 2100, 37.000000 
 18, 2200, 55.000000 
 18, 2300, 129.000000 
 19, 0000, 193.000000 
 19, 0100, 277.000000 
 19, 0200, 292.000000 
 19, 0300, 320.000000 
 19, 0400, 267.000000 
 19, 0500, 245.000000 
 19, 0600, 250.000000 
 19, 0700, 281.000000 
 19, 0800, 19.000000 
 19, 0900, 20.000000 
 19, 1000, 62.000000 
 19, 1100, 238.000000 
 19, 1200, 274.000000 
 19, 1300, 319.000000 
 19, 1400, 352.000000 
 19, 1500, 337.000000 
 19, 1600, 352.000000 
 19, 1700, 11.000000 
 19, 1800, 338.000000 
 19, 1900, 326.000000 
 19, 2000, 331.000000 
 19, 2100, 321.000000 
 19, 2200, 317.000000 
 19, 2300, 16.000000 
 20, 0000, 32.000000 
 20, 0100, 40.000000 
 20, 0200, 47.000000 
 20, 0300, 49.000000 
 20, 0400, 46.000000 
 20, 0500, 38.000000 
 20, 0600, 33.000000 
 20, 0700, 24.000000 
 20, 0800, 43.000000 
 20, 0900, 35.000000 
 20, 1000, 91.000000 
 20, 1100, 30.000000 
 20, 1200, 176.000000 
 20, 1300, 1.000000 
 20, 1400, 3.000000 
 20, 1500, 6.000000 
 20, 1600, 54.000000 
 20, 1700, 48.000000 
 20, 1800, 45.000000 
 20, 1900, 36.000000 
 20, 2000, 35.000000 
 20, 2100, 7.000000 
 20, 2200, 40.000000 
 20, 2300, 75.000000 
 21, 0000, 143.000000 
 21, 0100, 277.000000 
 21, 0200, 86.000000 
 21, 0300, 240.000000 
 21, 0400, 241.000000 
 21, 0500, 209.000000 
 21, 0600, 113.000000 
 21, 0700, 88.000000 
 21, 0800, 245.000000 
 21, 0900, 13.000000 
 21, 1000, 44.000000 
 21, 1100, 5.000000 
 21, 1200, 344.000000 
 21, 1300, 226.000000 
 21, 1400, 186.000000 
 21, 1500, 199.000000 
 21, 1600, 222.000000 
 21, 1700, 0.000000 
 21, 1800, 219.000000 
 21, 1900, 229.000000 
 21, 2000, 150.000000 
 21, 2100, 195.000000 
 21, 2200, 58.000000 
 21, 2300, 76.000000 
 22, 0000, 34.000000 
 22, 0100, 162.000000 
 22, 0200, 140.000000 
 22, 0300, 211.000000 
 22, 0400, 177.000000 
 22, 0500, 168.000000 
 22, 0600, 135.000000 
 22, 0700, 175.000000 
 22, 0800, 244.000000 
 22, 0900, 353.000000 
 22, 1000, 331.000000 
 22, 1100, 20.000000 
 22, 1200, 137.000000 
 22, 1300, 350.000000 
 22, 1400, 31.000000 
 22, 1500, 0.000000 
 22, 1600, 199.000000 
 22, 1700, 191.000000 
 22, 1800, 34.000000 
 22, 1900, 30.000000 
 22, 2000, 322.000000 
 22, 2100, 149.000000 
 22, 2200, 85.000000 
 22, 2300, 8.000000 
 23, 0000, 21.000000 
 23, 0100, 26.000000 
 23, 0200, 15.000000 
 23, 0300, 11.000000 
 23, 0400, 22.000000 
 23, 0500, 37.000000 
 23, 0600, 92.000000 
 23, 0700, 67.000000 
 23, 0800, 319.000000 
 23, 0900, 19.000000 
 23, 1000, 15.000000 
 23, 1100, 12.000000 
 23, 1200, 31.000000 
 23, 1300, 23.000000 
 23, 1400, 24.000000 
 23, 1500, 3.000000 
 23, 1600, 10.000000 
 23, 1700, 4.000000 
 23, 1800, 347.000000 
 23, 1900, 350.000000 
 23, 2000, 22.000000 
 23, 2100, 2.000000 
 23, 2200, 347.000000 
 23, 2300, 7.000000 
 24, 0000, 18.000000 
 24, 0100, 10.000000 
 24, 0200, 29.000000 
 24, 0300, 5.000000 
 24, 0400, 25.000000 
 24, 0500, 36.000000 
 24, 0600, 37.000000 
 24, 0700, 354.000000 
 24, 0800, 350.000000 
 24, 0900, 344.000000 
 24, 1000, 19.000000 
 24, 1100, 359.000000 
 24, 1200, 314.000000 
 24, 1300, 10.000000 
 24, 1400, 25.000000 
 24, 1500, 11.000000 
 24, 1600, 80.000000 
 24, 1700, 66.000000 
 24, 1800, 17.000000 
 24, 1900, 22.000000 
 24, 2000, 32.000000 
 24, 2100, 36.000000 
 24, 2200, 27.000000 
 24, 2300, 357.000000 
 25, 0000, 24.000000 
 25, 0100, 28.000000 
 25, 0200, 176.000000 
 25, 0300, 228.000000 
 25, 0400, 225.000000 
 25, 0500, 205.000000 
 25, 0600, 190.000000 
 25, 0700, 199.000000 
 25, 0800, 193.000000 
 25, 0900, 323.000000 
 25, 1000, 15.000000 
 25, 1100, 28.000000 
 25, 1200, 171.000000 
 25, 1300, 22.000000 
 25, 1400, 32.000000 
 25, 1500, 26.000000 
 25, 1600, 66.000000 
 25, 1700, 338.000000 
 25, 1800, 348.000000 
 25, 1900, 17.000000 
 25, 2000, 57.000000 
 25, 2100, 7.000000 
 25, 2200, 356.000000 
 25, 2300, 39.000000 
 26, 0000, 348.000000 
 26, 0100, 327.000000 
 26, 0200, 283.000000 
 26, 0300, 268.000000 
 26, 0400, 316.000000 
 26, 0500, 289.000000 
 26, 0600, 268.000000 
 26, 0700, 326.000000 
 26, 0800, 337.000000 
 26, 0900, 29.000000 
 26, 1000, 27.000000 
 26, 1100, 12.000000 
 26, 1200, 53.000000 
 26, 1300, 114.000000 
 26, 1400, 8.000000 
 26, 1500, 28.000000 
 26, 1600, 297.000000 
 26, 1700, 154.000000 
 26, 1800, 297.000000 
 26, 1900, 110.000000 
 26, 2000, 282.000000 
 26, 2100, 44.000000 
 26, 2200, 61.000000 
 26, 2300, 300.000000 
 27, 0000, 321.000000 
 27, 0100, 345.000000 
 27, 0200, 276.000000 
 27, 0300, 195.000000 
 27, 0400, 281.000000 
 27, 0500, 164.000000 
 27, 0600, 138.000000 
 27, 0700, 157.000000 
 27, 0800, 239.000000 
 27, 0900, 13.000000 
 27, 1000, 205.000000 
 27, 1100, 61.000000 
 27, 1200, 285.000000 
 27, 1300, 75.000000 
 27, 1400, 65.000000 
 27, 1500, 38.000000 
 27, 1600, 209.000000 
 27, 1700, 8.000000 
 27, 1800, 347.000000 
 27, 1900, 352.000000 
 27, 2000, 221.000000 
 27, 2100, 270.000000 
 27, 2200, 335.000000 
 27, 2300, 38.000000 
 28, 0000, 310.000000 
 28, 0100, 286.000000 
 28, 0200, 298.000000 
 28, 0300, 286.000000 
 28, 0400, 280.000000 
 28, 0500, 278.000000 
 28, 0600, 265.000000 
 28, 0700, 342.000000 
 28, 0800, 332.000000 
 28, 0900, 28.000000 
 28, 1000, 45.000000 
 28, 1100, 153.000000 
 28, 1200, 321.000000 
 28, 1300, 4.000000 
 28, 1400, 0.000000 
 28, 1500, 4.000000 
 28, 1600, 11.000000 
 28, 1700, 16.000000 
 28, 1800, 32.000000 
 28, 1900, 12.000000 
 28, 2000, 332.000000 
 28, 2100, 8.000000 
 28, 2200, 43.000000 
 28, 2300, 62.000000 
 29, 0000, 335.000000 
 29, 0100, 336.000000 
 29, 0200, 266.000000 
 29, 0300, 299.000000 
 29, 0400, 283.000000 
 29, 0500, 290.000000 
 29, 0600, 277.000000 
 29, 0700, 322.000000 
 29, 0800, 341.000000 
 29, 0900, 12.000000 
 29, 1000, 344.000000 
 29, 1100, 42.000000 
 29, 1200, 2.000000 
 29, 1300, 295.000000 
 29, 1400, 41.000000 
 29, 1500, 0.000000 
 29, 1600, 13.000000 
 29, 1700, 338.000000 
 29, 1800, 33.000000 
 29, 1900, 5.000000 
 29, 2000, 325.000000 
 29, 2100, 322.000000 
 29, 2200, 18.000000 
 29, 2300, 359.000000 
 30, 0000, 349.000000 
 30, 0100, 277.000000 
 30, 0200, 324.000000 
 30, 0300, 281.000000 
 30, 0400, 269.000000 
 30, 0500, 277.000000 
 30, 0600, 301.000000 
 30, 0700, 338.000000 
 30, 0800, 327.000000 
 30, 0900, 35.000000 
 30, 1000, 41.000000 
 30, 1100, 27.000000 
 30, 1200, 1.000000 
 30, 1300, 355.000000 
 30, 1400, 357.000000 
 30, 1500, 10.000000 
 30, 1600, 3.000000 
 30, 1700, 4.000000 
 30, 1800, 24.000000 
 30, 1900, 355.000000 
 30, 2000, 16.000000 
 30, 2100, 62.000000 
 30, 2200, 38.000000 
